date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,team_name,season
3/12/2023,21:15,Liga MX,Clausura 2023 Regular Season,Sun,Home,D,1,1,Necaxa,1.1,1.2,55,11272,Alfredo Talavera,4/3/2003,Erick Miranda,Match Report,,13,3,13.5,0,0,0,FC Juarez,2023
3/12/2023,21:15,Liga MX,Clausura 2023 Regular Season,Sun,Away,D,1,1,FC Juárez,1.2,1.1,45,11272,Fabricio Formiliano,4/4/2002,Erick Miranda,Match Report,,19,4,23.3,1,0,0,Necaxa,2023
3/12/2023,19:05,Liga MX,Clausura 2023 Regular Season,Sun,Away,W,2,1,Pachuca,0.7,0.8,43,,Celso Ortiz,4-2-3-1,Fernando Guerrero,Match Report,,13,5,21.3,1,0,0,Monterrey,2023
3/12/2023,19:05,Liga MX,Clausura 2023 Regular Season,Sun,Home,L,1,2,Monterrey,0.8,0.7,57,,Óscar Ustari,4-4-1-1,Fernando Guerrero,Match Report,,17,5,22.8,3,0,0,Pachuca,2023
3/12/2023,19:05,Liga MX,Clausura 2023 Regular Season,Sun,Home,W,3,2,Tijuana,1.6,1,54,,Carlos Acevedo,4/4/2002,Ismael Lopez,Match Report,,11,7,12.4,0,0,0,Santos Laguna,2023
3/12/2023,19:05,Liga MX,Clausura 2023 Regular Season,Sun,Away,L,2,3,Santos,1,1.6,46,,Nicolás Díaz Huincales,5/3/2002,Ismael Lopez,Match Report,,15,5,20.9,0,0,0,Tijuana,2023
3/12/2023,12:00,Liga MX,Clausura 2023 Regular Season,Sun,Home,W,4,1,Mazatlán,2.6,0.2,69,,Marcel Ruiz,4/4/2002,Luis Santander,Match Report,,25,11,17.1,1,0,0,Toluca,2023
3/12/2023,12:00,Liga MX,Clausura 2023 Regular Season,Sun,Away,L,1,4,Toluca,0.2,2.6,31,,Néstor Vidrio,5/4/2001,Luis Santander,Match Report,,6,1,22.7,0,0,0,Mazatlan,2023
3/11/2023,21:10,Liga MX,Clausura 2023 Regular Season,Sat,Away,W,2,0,UANL,1.4,0.7,44,,Henry Martín,4-2-3-1,Victor Caceres,Match Report,,13,5,26.6,0,0,0,America,2023
3/11/2023,21:10,Liga MX,Clausura 2023 Regular Season,Sat,Home,L,0,2,América,0.7,1.4,56,,Guido Pizarro,4-2-3-1,Victor Caceres,Match Report,,9,2,16,0,0,0,UANL,2023
3/11/2023,19:05,Liga MX,Clausura 2023 Regular Season,Sat,Home,W,1,0,UNAM,1.1,0.4,57,,José Corona,4/3/2003,Daniel Quintero,Match Report,,16,3,17.1,1,0,0,Cruz Azul,2023
