Unnamed: 0,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,team_name,season
0.0,2017-07-21,19:00,Liga MX,Apertura 2017 Regular Season,Fri,Away,W,2.0,0.0,Tijuana,,,42.0,27333.0,Julio Domínguez,4-1-4-1,Roberto García,Match Report,,0,0,,,0,1,Cruz Azul,2018
0.0,2017-07-21,19:00,Liga MX,Apertura 2017 Regular Season,Fri,Away,D,0.0,0.0,Morelia,,,56.0,26984.0,José María Basanta,4-3-3,Marco Antonio Nava,Match Report,,0,0,,,0,0,Monterrey,2018
0.0,2017-07-21,19:00,Liga MX,Apertura 2017 Regular Season,Fri,Home,L,0.0,2.0,Cruz Azul,,,58.0,27333.0,Juan Carlos Valenzuela,4-2-3-1,Roberto García,Match Report,,0,0,,,0,0,Tijuana,2018
0.0,2017-07-21,19:00,Liga MX,Apertura 2017 Regular Season,Fri,Home,D,0.0,0.0,Monterrey,,,44.0,26984.0,Gabriel Achilier,4-4-2,Marco Antonio Nava,Match Report,,0,0,,,0,0,Morelia,2018
0.0,2017-07-22,17:00,Liga MX,Apertura 2017 Regular Season,Sat,Away,D,2.0,2.0,Lobos BUAP,,,,5815.0,Néstor Araujo,4-3-3,Erick Yair Miranda,Match Report,,0,0,,,0,0,Santos Laguna,2018
0.0,2017-07-22,21:06,Liga MX,Apertura 2017 Regular Season,Sat,Away,D,0.0,0.0,Guadalajara,,,41.0,34272.0,Alfredo Talavera,4-2-3-1,Jorge Rojas,Match Report,,0,0,,,0,0,Toluca,2018
0.0,2017-07-22,19:06,Liga MX,Apertura 2017 Regular Season,Sat,Home,L,0.0,3.0,Atlas,,,50.0,20582.0,Mauro Boselli,3-1-4-2,Alfredo Peñaloza,Match Report,,0,0,,,0,0,Leon,2018
0.0,2017-07-22,19:00,Liga MX,Apertura 2017 Regular Season,Sat,Home,W,5.0,0.0,Puebla,,,56.0,41269.0,Juninho,3-4-1-2,Jorge Pérez,Match Report,,0,0,,,0,0,UANL,2018
0.0,2017-07-22,21:06,Liga MX,Apertura 2017 Regular Season,Sat,Home,D,0.0,0.0,Toluca,,,59.0,34272.0,Carlos Salcido,4-2-3-1,Jorge Rojas,Match Report,,0,0,,,0,0,Guadalajara,2018
0.0,2017-07-22,17:00,Liga MX,Apertura 2017 Regular Season,Sat,Home,L,0.0,1.0,Querétaro,,,57.0,24943.0,Oribe Peralta,3-4-3,Óscar Macias,Match Report,,0,0,,,0,0,America,2018
