,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,team_name,season
0,2021-07-25,19:06,Liga MX,Apertura 2021 Regular Season,Sun,Away,W,2,1,Tijuana,0.7,1.2,47.0,4333.0,Guido Pizarro,4-3-3,Óscar Macias,Match Report,,5,2,18.4,1.0,0,0,UANL,2023
1,2021-08-01,12:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,L,1,3,Toluca,0.9,1.8,43.0,8540.0,Guido Pizarro,4-3-3,Victor Caceres,Match Report,,19,5,21.0,0.0,0,0,UANL,2023
2,2021-08-07,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,1,1,Santos,1.0,1.8,50.0,14350.0,Nahuel Guzmán,4-4-2,Marco Ortíz,Match Report,,12,3,20.6,0.0,0,0,UANL,2023
3,2021-08-13,19:00,Liga MX,Apertura 2021 Regular Season,Fri,Away,D,1,1,Puebla,2.2,2.0,55.0,7654.0,Nahuel Guzmán,4-1-4-1,Jorge Rojas,Match Report,,13,4,14.3,0.0,0,0,UANL,2023
4,2021-08-17,19:00,Liga MX,Apertura 2021 Regular Season,Tue,Home,W,3,0,Querétaro,1.1,0.2,57.0,9264.0,Nahuel Guzmán,3-5-2,Diego Montaño,Match Report,,12,4,20.2,1.0,0,0,UANL,2023
5,2021-08-20,20:00,Liga MX,Apertura 2021 Regular Season,Fri,Away,W,3,0,Mazatlán,1.8,0.6,59.0,7733.0,Nahuel Guzmán,3-5-2,Eduardo Basulto,Match Report,,15,4,22.0,0.0,1,1,UANL,2023
6,2021-08-28,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,1,1,Atlas,1.9,1.0,55.0,11225.0,Nahuel Guzmán,5-3-2,Luis Santander,Match Report,,13,3,19.7,1.0,1,1,UANL,2023
7,2021-09-11,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,2,2,León,0.5,2.6,54.0,12962.0,Nahuel Guzmán,3-5-2,Jorge Pérez,Match Report,,9,4,20.1,0.0,0,0,UANL,2023
8,2021-09-19,19:06,Liga MX,Apertura 2021 Regular Season,Sun,Away,L,0,2,Monterrey,1.2,1.7,63.0,26755.0,Guido Pizarro,3-5-2,Fernando Hernández,Match Report,,20,6,20.2,1.0,0,0,UANL,2023
9,2021-09-25,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,D,0,0,UNAM,1.0,1.9,63.0,15581.0,Guido Pizarro,4-4-2,Óscar Macias,Match Report,,17,3,14.9,0.0,0,0,UANL,2023
10,2021-09-29,17:00,Liga MX,Apertura 2021 Regular Season,Wed,Away,W,3,0,Atlético,1.7,1.1,55.0,9545.0,Guido Pizarro,3-5-2,Jorge Rojas,Match Report,,13,6,23.8,1.0,0,0,UANL,2023
11,2021-10-03,19:00,Liga MX,Apertura 2021 Regular Season,Sun,Home,D,0,0,Necaxa,0.9,0.8,52.0,15797.0,Guido Pizarro,5-3-2,Marco Ortíz,Match Report,,19,8,22.0,1.0,0,0,UANL,2023
12,2021-10-16,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,D,1,1,Cruz Azul,1.1,0.5,42.0,20894.0,Guido Pizarro,5-3-2,Jorge Pérez,Match Report,,10,5,19.5,1.0,0,0,UANL,2023
13,2021-10-20,21:00,Liga MX,Apertura 2021 Regular Season,Wed,Home,W,3,0,Pachuca,2.3,1.4,49.0,24153.0,Guido Pizarro,5-3-2,Luis Santander,Match Report,,12,5,16.9,0.0,0,0,UANL,2023
14,2021-10-23,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Away,L,0,1,América,0.8,1.0,59.0,32675.0,Guido Pizarro,5-3-2,Fernando Guerrero,Match Report,,13,5,21.5,1.0,0,0,UANL,2023
15,2021-10-30,21:10,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,2,1,Guadalajara,0.9,1.1,46.0,25523.0,Guido Pizarro,5-3-2,Diego Montaño,Match Report,,9,3,18.9,1.0,0,0,UANL,2023
16,2021-11-06,21:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,3,0,FC Juárez,2.0,0.4,60.0,26243.0,Guido Pizarro,5-3-2,Óscar Macias,Match Report,,14,4,21.2,0.0,0,0,UANL,2023
17,2021-11-25,21:05,Liga MX,Quarter-finals,Thu,Away,L,1,2,Santos,1.0,1.0,63.0,15310.0,André-Pierre Gignac,5-3-2,Óscar Macias,Match Report,Leg 1 of 2,18,5,21.0,0.0,0,0,UANL,2023
18,2021-11-28,18:00,Liga MX,Quarter-finals,Sun,Home,W,1,0,Santos,1.1,0.3,61.0,37438.0,Guido Pizarro,5-3-2,Luis Santander,Match Report,Leg 2 of 2; UANL won,13,2,19.1,1.0,0,0,UANL,2023
19,2021-12-01,21:00,Liga MX,Semi-finals,Wed,Home,W,2,1,León,2.7,0.3,63.0,37785.0,André-Pierre Gignac,5-3-2,Marco Ortíz,Match Report,Leg 1 of 2,30,9,20.8,0.0,0,0,UANL,2023
20,2021-12-04,21:00,Liga MX,Semi-finals,Sat,Away,L,1,2,León,1.2,2.2,37.0,23570.0,André-Pierre Gignac,3-4-3,César Arturo Ramos,Match Report,Leg 2 of 2; León won,8,2,21.2,0.0,0,0,UANL,2023
21,2022-01-12,20:06,Liga MX,Clausura 2022 Regular Season,Wed,Away,D,1,1,Santos,0.7,0.3,56.0,9377.0,Guido Pizarro,4-1-4-1,Adonai Escobedo,Match Report,,20,4,19.5,0.0,0,0,UANL,2023
22,2022-01-15,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,0,2,Puebla,2.2,1.4,69.0,14829.0,Guido Pizarro,4-4-2,Luis Santander,Match Report,,20,9,16.7,1.0,0,1,UANL,2023
23,2022-01-23,12:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,W,2,1,UNAM,1.6,1.0,61.0,18805.0,Guido Pizarro,3-5-2,Oscar Mejia,Match Report,,15,4,23.9,1.0,1,1,UANL,2023
24,2022-02-06,20:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,W,4,3,Mazatlán,4.1,2.4,62.0,10497.0,Guido Pizarro,5-4-1,Fernando Hernández,Match Report,,19,8,17.1,0.0,1,1,UANL,2023
25,2022-02-12,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,W,3,1,Guadalajara,2.1,0.9,43.0,22564.0,Guido Pizarro,5-4-1,Jorge Pérez,Match Report,,17,6,14.8,2.0,0,0,UANL,2023
26,2022-02-19,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,2,1,Atlético,1.3,0.3,62.0,20850.0,Guido Pizarro,4-5-1,Marco Ortíz,Match Report,,18,4,13.7,1.0,0,0,UANL,2023
27,2022-02-25,20:00,Liga MX,Clausura 2022 Regular Season,Fri,Away,W,3,2,FC Juárez,2.9,1.0,57.0,10113.0,Guido Pizarro,5-4-1,Daniel Quintero,Match Report,,12,6,15.2,0.0,0,0,UANL,2023
28,2022-03-02,19:00,Liga MX,Clausura 2022 Regular Season,Wed,Home,D,2,2,Cruz Azul,2.8,1.0,49.0,36978.0,Guido Pizarro,5-4-1,Victor Caceres,Match Report,,19,8,14.7,1.0,0,0,UANL,2023
29,2022-03-12,17:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,W,3,0,León,1.4,1.5,47.0,16242.0,Guido Pizarro,4-2-3-1,Fernando Guerrero,Match Report,,12,7,20.5,0.0,0,0,UANL,2023
30,2022-03-19,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,2,0,Monterrey,0.5,0.5,58.0,41473.0,Guido Pizarro,4-1-4-1,Jorge Pérez,Match Report,,9,6,19.2,1.0,0,0,UANL,2023
31,2022-04-03,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Home,W,2,0,Tijuana,2.3,0.8,59.0,37691.0,Guido Pizarro,4-1-4-1,Óscar Macias,Match Report,,19,5,16.4,0.0,0,0,UANL,2023
32,2022-04-07,19:00,Liga MX,Clausura 2022 Regular Season,Thu,Away,L,1,2,Pachuca,0.6,1.7,55.0,10664.0,Guido Pizarro,4-1-4-1,Ismael Lopez,Match Report,,6,2,11.8,0.0,0,0,UANL,2023
33,2022-04-10,19:00,Liga MX,Clausura 2022 Regular Season,Sun,Away,W,1,0,Querétaro,0.3,1.7,43.0,,Guido Pizarro,4-4-2,Diego Montaño,Match Report,,10,2,28.0,1.0,0,0,UANL,2023
34,2022-04-16,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,W,3,0,Toluca,2.8,0.4,57.0,36658.0,Guido Pizarro,4-3-3,Marco Ortíz,Match Report,,27,10,17.0,0.0,0,0,UANL,2023
35,2022-04-19,19:00,Liga MX,Clausura 2022 Regular Season,Tue,Away,L,0,2,Necaxa,1.1,0.7,62.0,,Guido Pizarro,3-4-3,Jesus Lopez,Match Report,,16,2,18.7,2.0,0,0,UANL,2023
36,2022-04-23,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Home,L,0,2,América,0.5,1.6,62.0,38810.0,Guido Pizarro,4-3-3,Fernando Hernández,Match Report,,5,3,18.6,0.0,0,0,UANL,2023
37,2022-04-30,19:00,Liga MX,Clausura 2022 Regular Season,Sat,Away,D,1,1,Atlas,1.5,0.5,54.0,21968.0,Hugo Ayala,4-2-3-1,Oscar Mejia,Match Report,,11,1,20.3,1.0,1,1,UANL,2023
38,2022-05-12,19:00,Liga MX,Quarter-finals,Thu,Away,W,1,0,Cruz Azul,0.5,0.5,46.0,28974.0,Guido Pizarro,3-4-3,Fernando Hernández,Match Report,Leg 1 of 2,10,5,26.6,1.0,0,0,UANL,2023
39,2022-05-15,20:05,Liga MX,Quarter-finals,Sun,Home,L,0,1,Cruz Azul,1.6,0.7,42.0,40161.0,Guido Pizarro,3-4-3,César Arturo Ramos,Match Report,Leg 2 of 2; UANL won,21,6,19.2,1.0,0,0,UANL,2023
40,2022-05-18,21:00,Liga MX,Semi-finals,Wed,Away,L,0,3,Atlas,0.8,1.3,54.0,20684.0,Guido Pizarro,3-4-3,Marco Ortíz,Match Report,Leg 1 of 2,11,1,17.6,0.0,0,0,UANL,2023
41,2022-05-21,20:00,Liga MX,Semi-finals,Sat,Home,W,4,2,Atlas,3.5,1.9,62.0,41635.0,Guido Pizarro,4-4-2,César Arturo Ramos,Match Report,Leg 2 of 2; Atlas won,19,5,18.1,1.0,2,2,UANL,2023
0,2021-07-22,21:00,Liga MX,Apertura 2021 Regular Season,Thu,Away,D,0,0,Querétaro,1.4,0.4,57.0,10221.0,Bruno Valdez,4-1-4-1,Marco Ortíz,Match Report,,16,2,20.9,1.0,0,0,America,2023
1,2021-07-31,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,2,1,Necaxa,1.2,1.9,61.0,9590.0,Emanuel Aguilera,4-1-4-1,Fernando Hernández,Match Report,,15,5,18.2,0.0,0,0,America,2023
2,2021-08-07,19:00,Liga MX,Apertura 2021 Regular Season,Sat,Home,W,2,0,Puebla,2.4,1.1,46.0,8567.0,Emanuel Aguilera,4-2-3-1,César Arturo Ramos,Match Report,,10,4,20.1,1.0,1,1,America,2023
3,2021-08-15,17:00,Liga MX,Apertura 2021 Regular Season,Sun,Away,W,1,0,Atlas,1.7,0.4,43.0,13637.0,Guillermo Ochoa,4-2-3-1,Jorge Pérez,Match Report,,9,3,21.9,1.0,0,1,America,2023
4,2021-08-18,20:00,Liga MX,Apertura 2021 Regular Season,Wed,Away,W,2,1,FC Juárez,2.3,0.8,48.0,13992.0,Guillermo Ochoa,4-2-3-1,Luis Santander,Match Report,,16,6,13.8,0.0,0,0,America,2023
