date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,team_name,season,result_num,team_new,opponent_new,gf_avg,ga_avg,sh_avg,sot_avg,dist_avg,pk_avg,pkatt_avg
2018-08-18,2023-04-12 21:00:00,Liga MX,Apertura 2018 Regular Season,Sat,Away,D,1,1,Querétaro,0.5,0.8,41.0,26390.0,Oribe Peralta,4/4/2002,Jorge Rojas,Match Report,,10,3,16.6,0.0,0,0,America,2019,0,America,Queretaro,2.5,0.75,14.0,6.5,15.65,0.25,0.25
2018-08-22,2023-04-12 19:00:00,Liga MX,Apertura 2018 Regular Season,Wed,Away,L,0,2,León,0.6,1.5,57.0,25175.0,Oribe Peralta,4/4/2002,Marco Antonio Nava,Match Report,,10,2,17.8,0.0,0,0,America,2019,-1,America,Leon,2.5,0.5,13.25,6.75,15.65,0.25,0.25
2018-08-25,2023-04-12 19:00:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,D,2,2,UNAM,1.2,1.2,47.0,38342.0,Oribe Peralta,4/4/2002,Fernando Guerrero,Match Report,,13,2,18.0,0.0,0,0,America,2019,0,America,UNAM,1.75,1.0,12.0,5.75,16.475,0.25,0.25
2018-09-02,2023-04-12 16:00:00,Liga MX,Apertura 2018 Regular Season,Sun,Away,W,2,0,Lobos BUAP,2.4,0.4,49.0,19283.0,Oribe Peralta,4/4/2002,Óscar Macias,Match Report,,13,5,18.2,0.0,1,1,America,2019,1,America,Lobos BUAP,1.5,1.25,12.5,4.25,17.675,0.25,0.25
2018-09-15,2023-04-12 19:00:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,W,2,1,Morelia,1.1,0.4,44.0,24003.0,Oribe Peralta,4/4/2002,Eduardo Basulto,Match Report,,13,5,22.0,2.0,0,0,America,2019,1,America,Morelia,1.25,1.25,11.5,3.0,17.65,0.25,0.25
2018-09-21,2023-04-12 21:00:00,Liga MX,Apertura 2018 Regular Season,Fri,Away,W,3,2,Puebla,3.1,1.0,54.0,23234.0,Oribe Peralta,4/4/2002,Luis Santander,Match Report,,24,8,21.1,0.0,1,1,America,2019,1,America,Puebla,1.5,1.25,12.25,3.5,19.0,0.25,0.25
2018-09-30,2023-04-12 18:00:00,Liga MX,Apertura 2018 Regular Season,Sun,Home,D,1,1,Guadalajara,1.6,1.5,54.0,69486.0,Oribe Peralta,4/4/2002,César Arturo Ramos,Match Report,,18,3,24.3,0.0,0,1,America,2019,0,America,Guadalajara,2.25,1.25,15.75,5.0,19.825000000000003,0.5,0.5
2018-10-06,2023-04-12 19:00:00,Liga MX,Apertura 2018 Regular Season,Sat,Away,W,3,2,UANL,2.1,1.1,31.0,41596.0,Oribe Peralta,4/4/2002,Marco Antonio Nava,Match Report,,15,4,20.7,0.0,0,0,America,2019,1,America,UANL,2.0,1.0,17.0,5.25,21.400000000000002,0.5,0.75
2018-10-20,2023-04-12 19:00:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,W,3,0,Tijuana,1.9,0.8,45.0,20813.0,Paul Aguilar,4-2-3-1,Diego Montaño,Match Report,,12,4,16.2,0.0,0,0,America,2019,1,America,Tijuana,2.25,1.5,17.5,5.0,22.025,0.25,0.5
2018-10-27,2023-04-12 21:00:00,Liga MX,Apertura 2018 Regular Season,Sat,Away,D,0,0,Cruz Azul,0.4,0.4,49.0,62003.0,Paul Aguilar,4-2-3-1,Jorge Pérez,Match Report,,7,2,18.4,1.0,0,0,America,2019,0,America,Cruz Azul,2.5,1.25,17.25,4.75,20.575,0.25,0.5
2018-11-03,2023-04-12 19:00:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,D,1,1,Toluca,0.7,0.5,55.0,28635.0,Oribe Peralta,4/4/2002,Óscar Macias,Match Report,,9,3,22.5,0.0,0,0,America,2019,0,America,Toluca,1.75,0.75,13.0,3.25,19.9,0.0,0.25
2018-11-11,2023-04-12 18:00:00,Liga MX,Apertura 2018 Regular Season,Sun,Away,D,1,1,Santos,0.6,1.3,47.0,28479.0,Oribe Peralta,4/4/2002,Luis Santander,Match Report,,14,3,25.6,1.0,0,0,America,2019,0,America,Santos,1.75,0.75,10.75,3.25,19.45,0.0,0.0
2018-11-24,2023-04-12 19:00:00,Liga MX,Apertura 2018 Regular Season,Sat,Home,W,4,1,Veracruz,4.0,0.9,61.0,13005.0,Oribe Peralta,4/4/2002,Diego Montaño,Match Report,,29,14,20.1,3.0,0,1,America,2019,1,America,Veracruz,1.25,0.5,10.5,3.0,20.675,0.0,0.0
2018-11-29,2023-04-12 19:00:00,Liga MX,Quarter-finals,Thu,Away,D,2,2,Toluca,1.7,1.4,31.0,26031.0,Oribe Peralta,5/3/2002,Marco Antonio Nava,Match Report,Leg 1 of 2,12,7,19.1,2.0,0,0,America,2019,0,America,Toluca,1.5,0.75,14.75,5.5,21.65,0.0,0.25
2018-12-02,2023-04-12 18:30:00,Liga MX,Quarter-finals,Sun,Home,W,3,2,Toluca,1.7,1.9,40.0,44118.0,Paul Aguilar,5/3/2002,César Arturo Ramos,Match Report,Leg 2 of 2; América won,13,4,17.2,0.0,0,0,America,2019,1,America,Toluca,2.0,1.25,16.0,6.75,21.825000000000003,0.0,0.25
2018-12-06,2023-04-12 20:45:00,Liga MX,Semi-finals,Thu,Away,D,1,1,UNAM,1.8,2.0,32.0,49345.0,Oribe Peralta,5/3/2002,,Match Report,Leg 1 of 2,9,4,18.4,0.0,0,1,America,2019,0,America,UNAM,2.5,1.5,17.0,7.0,20.5,0.0,0.25
2018-12-09,2023-04-12 18:45:00,Liga MX,Semi-finals,Sun,Home,W,6,1,UNAM,2.9,0.4,48.0,64039.0,Paul Aguilar,4/4/2002,Jorge Rojas,Match Report,Leg 2 of 2; América won,15,8,13.5,0.0,1,1,America,2019,1,America,UNAM,2.5,1.5,15.75,7.25,18.7,0.0,0.5
2018-12-13,2023-04-12 20:30:00,Liga MX,Finals,Thu,Home,D,0,0,Cruz Azul,0.7,0.8,49.0,59244.0,Paul Aguilar,4-2-3-1,Fernando Guerrero,Match Report,Leg 1 of 2,8,2,19.0,0.0,0,0,America,2019,0,America,Cruz Azul,3.0,1.5,12.25,5.75,17.05,0.25,0.5
2018-12-16,2023-04-12 18:30:00,Liga MX,Finals,Sun,Away,W,2,0,Cruz Azul,1.5,0.3,44.0,71240.0,Oribe Peralta,4/4/2002,César Arturo Ramos,Match Report,Leg 2 of 2; América won,12,9,19.8,0.0,0,0,America,2019,1,America,Cruz Azul,2.5,1.0,11.25,4.5,17.025,0.25,0.5
2019-01-11,2023-04-12 21:00:00,Liga MX,Clausura 2019 Regular Season,Fri,Away,W,2,1,Atlas,1.3,0.5,49.0,46056.0,Oribe Peralta,4/4/2002,Jorge Pérez,Match Report,,14,4,18.7,0.0,0,0,America,2019,1,America,Atlas,2.25,0.5,11.0,5.75,17.675,0.25,0.5
2019-01-19,2023-04-12 19:00:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,W,3,0,Pachuca,1.4,0.6,43.0,22507.0,Oribe Peralta,4/4/2002,Óscar Macias,Match Report,,11,6,17.8,0.0,0,0,America,2019,1,America,Pachuca,2.5,0.5,12.25,5.75,17.75,0.25,0.25
2019-01-26,2023-04-12 17:00:00,Liga MX,Clausura 2019 Regular Season,Sat,Away,L,2,3,Monterrey,1.6,2.7,61.0,46292.0,Paul Aguilar,4/4/2002,Fernando Guerrero,Match Report,,14,7,18.0,0.0,0,0,America,2019,-1,America,Monterrey,1.75,0.25,11.25,5.25,18.825,0.0,0.0
2019-02-02,2023-04-12 17:00:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,W,2,0,Querétaro,1.5,0.5,49.0,16503.0,Paul Aguilar,4/4/2002,Jorge Rojas,Match Report,,16,8,24.2,0.0,1,1,America,2019,1,America,Queretaro,2.25,1.0,12.75,6.5,18.575,0.0,0.0
2019-02-09,2023-04-12 19:00:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,L,0,3,León,1.4,1.6,48.0,23867.0,Paul Aguilar,4/4/2002,Oscar Mejia,Match Report,,22,5,18.3,2.0,0,0,America,2019,-1,America,Leon,2.25,1.0,13.75,6.25,19.675,0.25,0.25
2019-02-17,2023-04-12 12:00:00,Liga MX,Clausura 2019 Regular Season,Sun,Away,L,0,1,UNAM,1.5,1.0,46.0,42600.0,Paul Aguilar,4/4/2002,César Arturo Ramos,Match Report,,12,3,17.9,1.0,0,0,America,2019,-1,America,UNAM,1.75,1.5,15.75,6.5,19.575,0.25,0.25
2019-02-23,2023-04-12 19:00:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,W,3,0,Lobos BUAP,1.3,0.3,61.0,20612.0,Paul Aguilar,4-1-2-1-2,Diego Montaño,Match Report,,16,6,19.6,0.0,0,0,America,2019,1,America,Lobos BUAP,1.0,1.75,16.0,5.75,19.6,0.25,0.25
2019-03-01,2023-04-12 21:00:00,Liga MX,Clausura 2019 Regular Season,Fri,Away,D,2,2,Morelia,1.2,1.6,56.0,30125.0,Paul Aguilar,4-3-1-2,Fernando Hernández,Match Report,,17,7,19.2,3.0,0,0,America,2019,0,America,Morelia,1.25,1.0,16.5,5.5,20.0,0.25,0.25
2019-03-05,2023-04-12 20:50:00,Liga MX,Clausura 2019 Regular Season,Tue,Home,L,1,3,Necaxa,2.5,1.2,59.0,14241.0,Paul Aguilar,4/3/2003,Marco Antonio Nava,Match Report,,19,9,19.3,1.0,0,0,America,2019,-1,America,Necaxa,1.25,1.5,16.75,5.25,18.75,0.0,0.0
2019-03-09,2023-04-12 19:00:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,W,1,0,Puebla,1.8,0.4,66.0,21614.0,Agustín Marchesín,4-2-3-1,Andonai Escobedo,Match Report,,24,8,19.7,0.0,0,0,America,2019,1,America,Puebla,1.5,1.5,16.0,6.25,19.0,0.0,0.0
2019-03-16,2023-04-12 19:00:00,Liga MX,Clausura 2019 Regular Season,Sat,Away,W,2,0,Guadalajara,1.3,0.9,49.0,41075.0,Paul Aguilar,4-2-3-1,Jorge Rojas,Match Report,,13,7,15.8,1.0,0,0,America,2019,1,America,Guadalajara,1.75,1.25,19.0,7.5,19.45,0.0,0.0
2019-03-30,2023-04-12 19:00:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,W,3,0,UANL,1.3,0.6,37.0,36220.0,Paul Aguilar,4-2-3-1,Jorge Pérez,Match Report,,13,6,20.4,1.0,0,0,America,2019,1,America,UANL,1.5,1.25,18.25,7.75,18.5,0.0,0.0
2019-04-06,2023-04-12 20:06:00,Liga MX,Clausura 2019 Regular Season,Sat,Away,L,2,3,Tijuana,0.6,1.2,52.0,27333.0,Paul Aguilar,4-2-3-1,Fernando Hernández,Match Report,,11,2,18.1,0.0,0,0,America,2019,-1,America,Tijuana,1.75,0.75,17.25,7.5,18.8,0.0,0.0
2019-04-14,2023-04-12 18:00:00,Liga MX,Clausura 2019 Regular Season,Sun,Home,D,0,0,Cruz Azul,0.8,0.5,53.0,47407.0,Paul Aguilar,4-2-3-1,Marco Antonio Nava,Match Report,,8,2,14.4,0.0,0,0,America,2019,0,America,Cruz Azul,2.0,0.75,15.25,5.75,18.5,0.0,0.0
2019-04-21,2023-04-12 12:00:00,Liga MX,Clausura 2019 Regular Season,Sun,Away,L,2,3,Toluca,2.6,2.1,60.0,25744.0,Paul Aguilar,4-4-1-1,Luis Santander,Match Report,,27,7,17.0,1.0,0,0,America,2019,-1,America,Toluca,1.75,0.75,11.25,4.25,17.175,0.0,0.0
2019-04-27,2023-04-12 19:00:00,Liga MX,Clausura 2019 Regular Season,Sat,Home,W,1,0,Santos,1.3,0.3,45.0,2672.0,Paul Aguilar,4/4/2002,Jorge Rojas,Match Report,,13,1,25.2,0.0,1,1,America,2019,1,America,Santos,1.75,1.5,14.75,4.25,17.475,0.0,0.0
2019-05-03,2023-04-12 21:00:00,Liga MX,Clausura 2019 Regular Season,Fri,Away,W,2,0,Veracruz,1.1,1.7,56.0,26550.0,Agustín Marchesín,4/4/2002,Eduardo Basulto,Match Report,,14,4,16.0,2.0,0,0,America,2019,1,America,Veracruz,1.25,1.5,14.75,3.0,18.675,0.25,0.25
