,club,squad,avgAge,foreigners,avg_market_value,total_market_value,year,tournament,period
0,CF América,22.0,27.4,11,3.51m,77.20m,2022,Apertura,2022/2023
1,Tigres UANL,22.0,28.3,10,3.21m,70.60m,2022,Apertura,2022/2023
2,CF Monterrey,24.0,27.1,9,2.93m,70.40m,2022,Apertura,2022/2023
3,Deportivo Guadalajara,26.0,26.1,0,2.52m,65.60m,2022,Apertura,2022/2023
4,Santos Laguna,24.0,25.4,8,2.25m,53.90m,2022,Apertura,2022/2023
5,CF Pachuca,30.0,24.8,10,1.72m,51.45m,2022,Apertura,2022/2023
6,Deportivo Toluca,24.0,27.8,11,2.13m,51.20m,2022,Apertura,2022/2023
7,Club León FC,27.0,26.8,11,1.88m,50.70m,2022,Apertura,2022/2023
8,CD Cruz Azul,26.0,27.6,10,1.91m,49.60m,2022,Apertura,2022/2023
9,Atlas Guadalajara,26.0,26.3,9,1.79m,46.60m,2022,Apertura,2022/2023
10,FC Juárez,31.0,28.1,13,1.29m,40.05m,2022,Apertura,2022/2023
11,Club Tijuana,25.0,27.0,10,1.21m,30.20m,2022,Apertura,2022/2023
12,UNAM Pumas,22.0,27.1,8,1.34m,29.45m,2022,Apertura,2022/2023
13,Atlético de San Luis,27.0,26.3,9,1.02m,27.60m,2022,Apertura,2022/2023
14,Puebla FC,27.0,27.2,11,981k,26.50m,2022,Apertura,2022/2023
15,Club Necaxa,23.0,25.8,8,1.14m,26.15m,2022,Apertura,2022/2023
16,Mazatlán FC,27.0,26.9,9,889k,24.00m,2022,Apertura,2022/2023
17,Querétaro FC,28.0,27.4,9,671k,18.80m,2022,Apertura,2022/2023
0,CF América,22.0,27.4,11,3.51m,77.20m,2022,Clausura,2022/2023
1,Tigres UANL,22.0,28.3,10,3.21m,70.60m,2022,Clausura,2022/2023
2,CF Monterrey,24.0,27.1,9,2.93m,70.40m,2022,Clausura,2022/2023
3,Deportivo Guadalajara,26.0,26.1,0,2.52m,65.60m,2022,Clausura,2022/2023
4,Santos Laguna,24.0,25.4,8,2.25m,53.90m,2022,Clausura,2022/2023
5,CF Pachuca,30.0,24.8,10,1.72m,51.45m,2022,Clausura,2022/2023
6,Deportivo Toluca,24.0,27.8,11,2.13m,51.20m,2022,Clausura,2022/2023
7,Club León FC,27.0,26.8,11,1.88m,50.70m,2022,Clausura,2022/2023
8,CD Cruz Azul,26.0,27.6,10,1.91m,49.60m,2022,Clausura,2022/2023
9,Atlas Guadalajara,26.0,26.3,9,1.79m,46.60m,2022,Clausura,2022/2023
10,FC Juárez,31.0,28.1,13,1.29m,40.05m,2022,Clausura,2022/2023
11,Club Tijuana,25.0,27.0,10,1.21m,30.20m,2022,Clausura,2022/2023
12,UNAM Pumas,22.0,27.1,8,1.34m,29.45m,2022,Clausura,2022/2023
13,Atlético de San Luis,27.0,26.3,9,1.02m,27.60m,2022,Clausura,2022/2023
14,Puebla FC,27.0,27.2,11,981k,26.50m,2022,Clausura,2022/2023
15,Club Necaxa,23.0,25.8,8,1.14m,26.15m,2022,Clausura,2022/2023
16,Mazatlán FC,27.0,26.9,9,889k,24.00m,2022,Clausura,2022/2023
17,Querétaro FC,28.0,27.4,9,671k,18.80m,2022,Clausura,2022/2023
0,CF América,51.0,24.8,18,1.85m,94.50m,2021,Apertura,2021/2022
1,CD Cruz Azul,45.0,25.6,14,2.09m,94.20m,2021,Apertura,2021/2022
2,CF Monterrey,36.0,25.3,11,2.46m,88.50m,2021,Apertura,2021/2022
3,Tigres UANL,37.0,26.2,12,2.26m,83.80m,2021,Apertura,2021/2022
4,Deportivo Guadalajara,53.0,24.1,1,1.49m,78.85m,2021,Apertura,2021/2022
5,Santos Laguna,35.0,25.3,13,2.07m,72.28m,2021,Apertura,2021/2022
6,Atlas Guadalajara,36.0,24.9,11,1.68m,60.40m,2021,Apertura,2021/2022
7,CF Pachuca,36.0,25.9,13,1.64m,59.10m,2021,Apertura,2021/2022
